⼀	e
⼂	r
⺂	u
⼁	i
⼃	o
䒑	a
丁	a
丑	a
亍	a
于	a
仑	a
几	a
厂	a
壴	a
尔	a
广	a
彑	a
曲	a
欠	a
牙	a
由	a
甲	a
马	a
	a
⺁	a
前	a
且	b
丩	b
乎	b
争	b
亠	b
代	b
以	b
夕	b
屯	b
更	b
歹	b
目	b
虫	b
辟	b
镸	b
长	b
髟	b
	b
	b
	b
	b
	b
丽	c
了	c
公	c
厶	c
合	c
四	c
奴	c
小	c
尹	c
牛	c
牜	c
皿	c
禾	c
罒	c
赤	c
彐	c
𣥂	c
	c
𰀂	c
⺕	c
	c
⺌	c
⺗	c
丆	d
也	d
人	d
入	d
卑	d
廿	d
执	d
未	d
殳	d
甘	d
白	d
石	d
穴	d
糸	d
耒	d
虍	d
豸	d
贝	d
酋	d
鱼	d
	d
	d
𠂇	d
⺈	d
𬜠	d
𭤨	d
从	f
八	f
卌	f
又	f
双	f
天	f
夭	f
彳	f
甫	f
耂	f
者	f
艹	f
见	f
门	f
鸟	f
	f
	f
𰀃	f
九	g
先	g
其	g
可	g
己	g
已	g
巳	g
巴	g
扌	g
段	g
生	g
田	g
畀	g
至	g
里	g
	g
	g
⺋	g
⺝	h
㐅	h
㠯	h
不	h
乂	h
予	h
亥	h
光	h
凸	h
凹	h
单	h
厃	h
吅	h
圭	h
平	h
忄	h
月	h
止	h
直	h
矛	h
礻	h
立	h
艮	h
衤	h
角	h
豆	h
豕	h
青	h
面	h
齿	h
	h
𧰨	h
	h
𡨄	h
一	j
丨	j
丶	j
丿	j
㐄	j
丌	j
业	j
五	j
亻	j
勿	j
半	j
告	j
夫	j
寸	j
瓦	j
自	j
衣	j
韦	j
	j
𧘇	j
	j
	j
主	k
之	k
勹	k
口	k
囗	k
大	k
尺	k
弋	k
戈	k
戉	k
戊	k
戋	k
敖	k
正	k
片	k
羊	k
爿	k
𢆉	k
⺶	k
⺷	k
𠮦	k
⽱	l
下	l
京	l
元	l
内	l
农	l
卜	l
⺊	l
上	l
土	l
士	l
工	l
心	l
父	l
疒	l
禸	l
竹	l
鬲	l
龙	l
𰀁	l
𠕁	l
	l
𠮛	l
𰀢	l
𠀐	l
𡗗	l
⺮	l
龹	l
云	m
区	m
女	m
折	m
方	m
林	m
比	m
氏	m
疋	m
走	m
釆	m
隹	m
音	m
骨	m
鹿	m
龰	m
𰀡	m
	m
七	n
义	n
刂	n
匕	n
千	n
吉	n
夂	n
干	n
廾	n
开	n
手	n
攵	n
文	n
旡	n
水	n
氵	n
氺	n
灬	n
舌	n
辛	n
页	n
	n
	n
	n
	n
	n
	n
𰃮	n
龵	n
𡭔	n
三	p
乙	p
乚	p
亦	p
共	p
十	p
定	p
尧	p
幺	p
次	p
火	p
犬	p
犭	p
舟	p
雨	p
食	p
饣	p
⻗	p
	p
𠀎	p
⺄	p
龷	p
𢀖	p
𦫻	p
	p
	p
	p
卯	p
㐫	q
㡀	q
与	q
丘	q
亼	q
今	q
令	q
六	q
冖	q
叚	q
因	q
斤	q
旦	q
朿	q
民	q
米	q
臣	q
革	q
𦣞	q
𢦏	q
廴	r
辶	r
亚	s
冂	s
凵	s
刀	s
分	s
及	s
呆	s
壬	s
子	s
孑	s
屰	s
是	s
王	s
示	s
聿	s
肀	s
言	s
讠	s
鬼	s
𭃂	s
㇉	t
㇡	t
久	t
乛	t
加	t
占	t
户	t
才	t
木	t
朩	t
此	t
用	t
甬	t
臼	t
西	t
覀	t
酉	t
鼠	t
𦥑	t
	t
𠃌	t
	v
中	v
匚	v
古	v
宀	v
少	v
毋	v
毌	v
母	v
气	v
相	v
矢	v
金	v
钅	v
	v
	v
𠂉	v
⺀	w
丂	w
万	w
丷	w
乃	w
冫	w
力	w
卩	w
去	w
巛	w
川	w
彡	w
我	w
日	w
曰	w
曾	w
毛	w
求	w
象	w
	w
	w
𫇦	w
𦭝	w
𰀆	w
丰	x
亡	x
儿	x
刍	x
发	x
回	x
尢	x
弓	x
弟	x
纟	x
黑	x
	x
	x
	x
龶	x
𠦝	x
𠂔	x
𠔿	x
习	y
二	y
井	y
兼	y
化	y
堇	y
屮	y
山	y
巾	y
爪	y
爫	y
瓜	y
癶	y
缶	y
羽	y
而	y
耳	y
莫	y
落	y
車	y
车	y
辰	y
阝	y
麻	y
	y
	y
	y
𣎆	y
丬	z
乍	z
北	z
各	z
垂	z
尸	z
束	z
皮	z
身	z
非	z
𠃜	z
	z
⻊	z
