的	dkrrrr
一	jeeeee
了	cuiiii
是	siueee
不	heoirr
我	woeieu
他	jduiuu
在	dleiee
人	dorrrr
有	dhiuee
这	nrrurr
来	wniorr
你	jaouio
个	djiiii
上	lieeee
到	gniiii
大	keorrr
道	ajrurr
着	kbiuee
说	skouuu
她	mduiuu
们	jfriuu
也	duiuuu
就	lxrrrr
那	syuiii
地	lduiuu
中	viueii
子	suieee
出	ysuiii
要	tmuoee
下	leirrr
为	jwrrrr
得	fqeirr
和	ckiuee
么	jcurrr
时	wjeirr
可	geiuei
去	weieur
会	dmeeur
里	giueei
过	jrrurr
以	burorr
看	nbiuee
然	bprrrr
对	fjeirr
自	joiuee
好	msuiee
天	feeorr
之	krurrr
没	ndouur
都	fyuiii
小	ciorrr
心	lrurrr
能	chouou
还	hrrurr
而	yeoiui
后	aleiue
想	vlrurr
起	mgueuu
生	goeeie
家	vheouo
只	kforrr
多	bbourr
手	noeeii
事	lsueei
面	heoiui
国	ksrrrr
头	wkeorr
发	xuourr
如	mkiuee
无	jxeouu
身	zoiuee
用	toueei
又	furrrr
把	gguieu
样	tkroee
开	neeoii
于	aeeiii
点	tnrrrr
前	aroeiu
已	gueuuu
知	vkiuee
什	jpeiii
所	avooei
方	mreuoo
现	sfouuu
经	xpurei
见	fiuouu
成	ktuuuu
些	tyeeee
法	nweieu
行	faeeii
声	lzuieo
年	vjeiei
意	mlrurr
己	gueuuu
当	ccueee
但	jqiuee
笑	lfoeor
老	fnouuu
两	fforor
很	fhueeu
情	hheeie
从	fororr
作	jzoeie
动	mwuooo
话	snoeii
回	xiuiue
力	wuoooo
儿	xouuuu
三	peeeee
长	boeurr
走	meieie
明	whouee
间	fwiuee
同	sleiue
分	soruoo
气	voeeuu
十	peiiii
眼	bhueeu
女	muoeee
将	zbeirr
定	prruei
种	cviuei
进	yrrurr
本	tjeeee
此	tieieo
向	zkiuee
正	keieie
真	hforrr
实	vweorr
给	xcorei
高	gkiuee
被	hzuoiu
学	nsuiee
问	fkiuee
神	hwiiii
与	qjeeee
再	fleiee
才	teiooo
全	dseeie
太	kjrrrr
因	qiueor
其	geiiee
主	kreeie
日	wiueee
打	gaeiii
却	wwuiii
让	slieee
文	nreorr
最	wyurrr
口	kiueee
听	kqooei
外	blirrr
二	yeeeee
门	friuuu
几	aouuuu
理	sgiuee
公	corurr
等	lleirr
相	veiori
光	hiroeo
西	teiuou
白	doiuee
先	goeieo
者	feieoi
便	jbeiue
住	jkreei
使	jlorrr
并	aneoii
重	ngiuee
信	jsreee
斯	gqooei
感	klrurr
做	jvoeor
水	niuorr
新	htooei
风	ahorrr
应	amrroe
少	vioroo
边	wrrurr
觉	nfiuou
色	dguieu
别	kwiiii
名	bkiuee
特	cleirr
何	jgeiue
次	preouo
山	yiuiii
机	taouuu
吧	kguieu
位	jhrero
比	meuouu
关	akeorr
体	jteeee
部	hkuiii
第	lxiooo
果	wteior
马	auueee
死	bnouuu
处	nlirrr
怎	zlrurr
安	vmuoee
东	yciorr
像	jwouiu
四	ciuoue
工	leieee
王	seeiee
更	beiuee
月	houeee
由	aiueie
金	voreei
呢	kzouuu
尔	aouior
直	heiiue
数	qmoeor
内	liuorr
它	vnouuu
路	zzouri
快	hvorrr
美	kkeorr
叫	kbuiii
吗	kauuee
军	qyeuei
接	ghuoee
加	tuoiue
平	heroei
张	xboeur
望	xheeie
常	cyiuii
放	mnoeor
表	xjouor
难	fmoire
性	hgoeei
入	dorrrr
场	ltoooo
算	lbeoii
海	nvuure
脸	hqrroe
花	fyoiou
龙	leouor
连	yrrurr
战	tkeuor
轻	ypurei
爱	ydurrr
夫	jeeorr
利	cniiii
带	fqiuii
亲	hteior
合	coreiu
通	trrurr
清	nheeie
立	hreroe
候	jvoeeo
目	biueee
民	queueu
系	jduuri
拉	ghrero
变	pfurrr
五	jeiuee
原	adiorr
完	vleeou
结	xneiei
化	yoiouu
跟	zhueeu
世	dpuuuu
空	dleiee
受	yfurrr
车	yeueii
教	fsoeor
今	qorruu
业	jiiroe
啊	kyeiue
许	sveiii
强	xkiuei
飞	pworrr
德	fpiuii
解	hsoeei
电	wpuuuu
量	qgiuee
思	glrurr
总	klrurr
任	jsoeie
物	cjouoo
度	dfurrr
活	nnoeii
件	jcoeei
林	meiore
师	njiuii
非	zieeei
克	vxouuu
象	wouiue
万	weuooo
该	shreuo
命	qkuiii
士	leieee
似	jburor
城	lkuuuu
至	geurei
吃	kvuuuu
提	gsiuee
转	yyurrr
制	vyiiii
市	byiuii
黑	xiuroe
火	proorr
云	meeurr
报	gwurrr
指	gniuee
书	ttirrr
远	lrrurr
找	gkeuor
满	nfeiuo
记	sgueuu
管	lviueu
干	neeiii
计	speiii
且	biueee
红	xleiee
房	tmreuo
步	hciooo
必	ljoooo
微	aaouuu
南	psroee
字	vsuiee
反	afurrr
华	ypeiii
百	jdoiue
言	sreeei
李	tsuiee
认	sdorrr
往	fkreei
